,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
Client_1,0,5,106,0,1,4,0,0,0,0
Client_2,0,58,126,0,0,0,140,0,0,0
Client_3,190,12,5,0,258,0,0,0,0,80
Client_4,0,10,10,2,0,124,0,0,3,0
Client_5,0,0,13,0,0,4,0,0,0,0
Client_6,79,620,0,0,13,1,19,126,0,2
Client_7,347,28,4,0,4,4,0,38,0,0
Client_8,0,0,0,181,0,3,0,481,0,0
Client_9,0,0,0,17,0,39,0,18,0,174
Client_10,47,75,7,0,3,42,0,96,0,149
Client_11,0,13,0,0,0,107,22,0,0,188
Client_12,0,17,1,0,3,86,0,0,47,0
Client_13,4,0,0,1154,48,35,53,0,0,22
Client_14,0,3,0,257,0,65,0,368,0,24
Client_15,473,0,235,22,0,21,0,0,3,0
Client_16,0,0,19,37,1176,0,0,0,0,0
Client_17,48,0,0,15,1,0,0,0,44,16
Client_18,0,279,0,0,63,0,0,0,0,206
Client_19,5,0,0,0,1,0,0,0,0,24
Client_20,0,0,79,43,47,0,44,0,32,14
Client_21,0,0,11,0,0,3,0,1,0,0
Client_22,52,1,341,0,57,0,0,0,1,0
Client_23,4,0,0,599,1,50,0,153,4,0
Client_24,0,0,0,7,0,0,0,0,1,1
Client_25,2,0,0,0,77,14,0,0,90,609
Client_26,27,0,0,0,145,0,5,2,0,78
Client_27,0,2,0,20,0,237,0,156,352,1
Client_28,0,2,0,7,4,4,8,13,0,11
Client_29,484,0,1276,0,0,0,0,0,0,1
Client_30,0,348,80,0,1,0,0,646,95,0
Client_31,0,0,605,1,7,40,0,0,0,718
Client_32,0,9,0,0,219,127,12,5,0,0
Client_33,23,45,1,1,0,0,564,0,0,0
Client_34,0,191,987,10,69,136,51,20,0,208
Client_35,1,1,0,84,66,1,1,10,0,10
Client_36,0,0,0,46,29,22,0,2,192,0
Client_37,10,0,0,9,123,0,4,49,3,0
Client_38,0,1,160,0,0,848,0,0,1901,12
Client_39,159,19,4,3,5,7,0,0,0,0
Client_40,520,362,58,0,1,9,0,0,0,16
Client_41,1,1,0,6,0,214,2,0,16,1
Client_42,0,0,0,0,972,4,21,2050,278,0
Client_43,30,210,0,0,112,0,0,8,0,0
Client_44,0,5,92,429,0,0,0,18,0,220
Client_45,0,0,11,21,9,41,927,0,122,45
Client_46,0,0,0,91,0,0,252,0,0,0
Client_47,0,114,1,68,0,0,0,0,724,26
Client_48,4,0,34,0,0,1,143,0,0,467
Client_49,4,0,0,189,0,23,0,1,9,0
Client_50,3,27,0,316,34,0,82,0,0,2
Client_51,0,1095,319,1,0,22,3,0,0,0
Client_52,19,0,0,0,12,0,0,16,0,27
Client_53,0,7,0,0,2,3,0,4,20,203
Client_54,14,0,0,43,0,0,0,0,1,14
Client_55,3,0,6,0,55,9,0,0,129,0
Client_56,0,0,1,18,0,0,0,0,89,0
Client_57,14,0,0,87,0,1,5,0,175,0
Client_58,22,337,0,0,0,0,3,0,13,106
Client_59,3,1,0,0,0,51,2,11,0,1
Client_60,0,4,0,0,1,71,261,93,1,0
Client_61,2,0,0,100,2,0,0,1,389,0
Client_62,0,6,0,0,0,1,213,182,0,0
Client_63,0,0,0,0,3,14,0,0,1,0
Client_64,85,133,0,0,0,0,0,33,74,0
Client_65,0,686,52,2,6,5,1,0,273,144
Client_66,27,1,574,0,0,1379,1,0,20,0
Client_67,0,64,0,257,0,13,1939,123,3,201
Client_68,4,35,1,61,1,1,123,1,0,0
Client_69,1,0,0,1,17,27,24,211,0,24
Client_70,0,0,18,1,0,0,3,35,0,216
Client_71,4,171,57,0,2,0,1,4,1,0
Client_72,189,4,0,24,0,373,60,0,1,0
Client_73,0,0,16,0,0,17,26,658,0,17
Client_74,5,0,0,0,0,9,139,31,0,0
Client_75,514,0,0,11,0,0,0,2,19,71
Client_76,63,33,0,1,0,180,0,27,35,45
Client_77,0,11,208,466,162,1,29,0,236,0
Client_78,1,0,1,1,0,0,0,11,19,0
Client_79,0,62,0,0,0,23,0,4,6,2
Client_80,9,13,0,0,0,58,0,0,0,0
Client_81,9,31,33,26,965,0,6,5,0,0
Client_82,0,0,11,0,0,0,57,21,4,0
Client_83,0,0,0,796,19,216,0,0,2,1
Client_84,3,36,8,0,57,2,117,101,4,0
Client_85,0,0,36,13,0,59,483,45,0,0
Client_86,28,0,0,0,194,1,13,0,13,0
Client_87,0,33,4,1,0,29,3,47,0,19
Client_88,292,0,0,1,2,471,21,15,0,0
Client_89,0,2,0,2,0,0,0,2,0,0
Client_90,0,0,103,91,0,0,0,0,189,800
Client_91,1,332,0,0,0,4,0,5,6,10
Client_92,68,129,42,49,0,27,0,2,153,0
Client_93,0,0,1,0,0,0,0,101,0,10
Client_94,0,18,3,5,0,0,0,0,44,33
Client_95,1891,0,0,73,3,37,0,142,6,0
Client_96,0,14,0,0,0,0,0,0,4,0
Client_97,0,1,0,0,0,0,0,0,0,1
Client_98,3,55,186,0,789,0,2,0,3,673
Client_99,131,0,3,0,0,0,0,70,0,5
Client_100,1,970,9,365,1,1,33,1,1,1
